universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.017823912082459925,-0.0004508879667421972,17.58257772880106,0.7,1,0,6,1.0
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.017450291361641224,-0.003005135250363722,6.976272987833676,0.8333333333333334,1,0,12,1.0
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.014713206603101936,-0.00743793802575643,6.592321455526183,0.8125,1,0,0,1.0
synthetic,calm_trend,leaderboard_llm_calm_trend_synthetic_v0_1,Calm trend,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-calm_trend-seed-7-symbols-SYN-ALT-periods-8,0.02435540792813984,-0.00743793802575643,9.415753246468029,0.8125,1,0,0,1.0
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,-0.009735964128918306,-0.012210929284335537,-6.72188345242475,0.7692307692307693,1,0,5,1.0
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,0.0187895255928916,-0.0014544029056052787,5.445713940705007,0.8333333333333334,1,0,13,1.0
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,-0.0014623689453864275,-0.009161879273335116,-0.586051050451872,0.8125,1,0,0,1.0
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,0.0039762816675714685,-0.009632296757136505,1.7250791908211562,0.8125,1,0,1,1.0
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.011656908391074916,-0.014754306432723796,2.929745761557377,0.6923076923076923,2,0,6,1.0
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.007702590772209916,-0.0019282743128761215,6.289828642571158,0.6666666666666666,0,0,16,1.0
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.010511598381395926,-0.02780658989556639,1.6210967453652605,0.8125,1,0,5,1.0
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.01188649634219785,-0.027432152622111405,1.796886869448413,0.8125,1,0,5,1.0
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.05099499295479171,-0.0011713690842416469,11.95879334421291,0.75,0,0,8,1.0
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,-0.02896422830039591,-0.052124532250713895,-2.833409770167982,0.8,1,0,10,1.0
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.0577535983496511,-0.0028832641733815834,9.66130082476389,0.875,0,0,0,1.0
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.09068441018345963,-0.0028832641733815834,10.729128402097622,0.875,0,0,2,1.0
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.026783034992706956,-0.03805515654184377,-5.053190455624584,0.8333333333333334,0,0,5,1.0
