scenario_key,scenario_id,scenario_label,provider,model,parse_coverage,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score,reproducibility_hash,submission,summary
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gpt-5.5,1.0,0.009544787382853137,-0.056618626037848285,1.054812181416663,0.8333333333333334,3,37,7,1.0,0.23914407278596594,6.699630982668503,0.7,10,0.9400000000000001,0.29166666666666663,0.6869416743573207,sha256:58660ab2dc04bdcd06c7cd0589be6bc82d179c4ba25edc28a2cff22c0b6b42c2,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gpt_5_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_gpt_5_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,gemini-3.1-pro,1.0,0.04864212103857812,-0.04226851863858172,3.8165569988781773,0.7307692307692307,6,24,9,1.0,0.06932871798863682,2.976040306816817,0.625,8,0.7962586333720805,0.41666666666666663,0.6176217463097622,sha256:97a4be30f9ce394a1a3499c9cb7413e1a1ffd567421f5ff540533ca1b32c3968,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro.json,docs/results/real_market_matrix/recent_cross_asset__poe_gemini_3_1_pro_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,kimi-k2.5,1.0,0.005538251031219188,-0.056618626037848285,0.671755719790733,0.8275862068965517,4,37,7,1.0,0.2398811563742882,6.1161920879403056,0.7,10,0.9400000000000001,0.29166666666666663,0.6804437369838344,sha256:3e0f106ab81e3a6cda4ce74e64b2b6053cf91da60f1593cac1a21c74fa590aa6,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_kimi_k2_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_kimi_k2_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,glm-5,1.0,0.006603659956621932,-0.056618626037848285,0.7759895449597302,0.8214285714285714,4,33,7,1.0,0.18598069661912753,5.31892815068681,0.7,10,0.9400000000000001,0.3472222222222222,0.6841834914331986,sha256:3b495e48af9d1cc276db853575de28af254590fad262be0bfb7c80d1dfc972b1,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_glm_5.json,docs/results/real_market_matrix/recent_cross_asset__poe_glm_5_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,poe,claude-opus-4.7,1.0,0.04390939585215947,-0.054031432443877536,3.5142865338467812,0.8125,3,40,7,1.0,0.21221893205497944,5.627692662981378,0.7,10,0.9400000000000001,0.25,0.7010551149918972,sha256:0d220b0e1f72d4a27f2a743c3b4f7da6c6b1a1022274073ec841f5239c514eea,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__poe_claude_opus_4_7.json,docs/results/real_market_matrix/recent_cross_asset__poe_claude_opus_4_7_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deepseek,deepseek-v4-flash,1.0,0.005538251031219188,-0.056618626037848285,0.671755719790733,0.8275862068965517,4,37,7,1.0,0.26619841742171446,6.561280249699686,0.7,10,0.9400000000000001,0.29166666666666663,0.6804437369838344,sha256:0e01ab97325fbd49680b57c3baa56ae73f658214246ae3708778a62f8c0c6b7e,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_flash.json,docs/results/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_flash_summary.json
recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deepseek,deepseek-v4-pro,1.0,-0.005499841905285963,-0.050869846033576915,-0.5518037940012094,0.7692307692307693,5,25,11,1.0,0.37807973667797046,15.792962309048427,0.875,8,0.9750000000000001,0.18055555555555558,0.6590766211869087,sha256:8d815eb3b5c2b8195f68741b88f67e77ab07cb88ba3f75b02e8837f6feb64bce,examples/benchmark_submissions/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_pro.json,docs/results/real_market_matrix/recent_cross_asset__deepseek_deepseek_v4_pro_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,gpt-5.5,1.0,-0.13849449867400387,-0.185388751584192,-3.5748313314253326,0.72,5,22,5,1.0,-0.016022052874497206,-1.4046626460284264,0.6,5,0.34367839334738975,0.5555555555555556,0.6106919761643681,sha256:9898e813349cb05e6f8185d4027fdf5dd1898e00fb22ffdd1ed1533fa532e044,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gpt_5_5.json,docs/results/real_market_matrix/rates_drawdown__poe_gpt_5_5_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,gemini-3.1-pro,1.0,-0.13847257847278582,-0.185368024563352,-3.574107199655091,0.68,6,21,5,1.0,-0.025798077757611226,-2.5206728327637604,0.6,5,0.28695432504537477,0.5694444444444444,0.584786581115815,sha256:2cd2140cc548887489200b8d5be46ba5a6ca73876d58beace5bb1613c891d49e,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_gemini_3_1_pro.json,docs/results/real_market_matrix/rates_drawdown__poe_gemini_3_1_pro_summary.json
rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,poe,kimi-k2.5,1.0,-0.12578731020932532,-0.1755132621389076,-3.2150726973826877,0.68,7,18,5,1.0,-0.06318100312330477,-5.3921742972880375,0.3333333333333333,6,0.14950940963923093,0.6111111111111112,0.5859181865070551,sha256:3ee5b0dd5ebb6066a6c7fcce54527fdbe505721a858c27b77c02c6c4cb750574,examples/benchmark_submissions/real_market_matrix/rates_drawdown__poe_kimi_k2_5.json,docs/results/real_market_matrix/rates_drawdown__poe_kimi_k2_5_summary.json
